PERMNO,date,PRC,RET
51692,2019-01-02,0.31070,0.016024
51692,2019-01-03,0.35000,0.126489
51692,2019-01-04,0.43150,0.232857
51692,2019-01-07,0.55520,0.286674
51692,2019-01-08,0.69140,0.245317
51692,2019-01-09,0.74680,0.080127
51692,2019-01-10,0.77280,0.034815
51692,2019-01-11,0.90000,0.164596
51692,2019-01-14,0.88320,-0.018667
51692,2019-01-15,0.68280,-0.226902
51692,2019-01-16,0.73130,0.071031
51692,2019-01-17,0.73810,0.009299
51692,2019-01-18,0.70490,-0.044980
51692,2019-01-22,0.70410,-0.001135
51692,2019-01-23,0.87110,0.237182
51692,2019-01-24,0.85780,-0.015268
51692,2019-01-25,0.91900,0.071345
51692,2019-01-28,0.90710,-0.012949
51692,2019-01-29,0.91680,0.010693
51692,2019-01-30,0.85890,-0.063154
51692,2019-01-31,0.81570,-0.050297
51692,2019-02-01,0.82140,0.006988
51692,2019-02-04,0.80000,-0.026053
51692,2019-02-05,0.84830,0.060375
51692,2019-02-06,0.83590,-0.014617
51692,2019-02-07,0.83590,0.000000
51692,2019-02-08,0.83360,-0.002752
51692,2019-02-11,0.87350,0.047865
51692,2019-02-12,0.91830,0.051288
51692,2019-02-13,0.90560,-0.013830
51692,2019-02-14,0.88570,-0.021974
51692,2019-02-15,0.90390,0.020549
51692,2019-02-19,0.87550,-0.031419
51692,2019-02-20,1.02000,0.165048
51692,2019-02-21,1.11000,0.088235
51692,2019-02-22,1.31000,0.180180
51692,2019-02-25,1.33000,0.015267
51692,2019-02-26,1.29000,-0.030075
51692,2019-02-27,1.39000,0.077519
51692,2019-02-28,1.35000,-0.028777
51692,2019-03-01,1.42000,0.051852
51692,2019-03-04,1.42000,0.000000
51692,2019-03-05,1.40000,-0.014084
51692,2019-03-06,1.38000,-0.014286
51692,2019-03-07,1.23000,-0.108696
51692,2019-03-08,1.24000,0.008130
51692,2019-03-11,1.09000,-0.120968
51692,2019-03-12,1.14000,0.045872
51692,2019-03-13,1.10000,-0.035088
51692,2019-03-14,0.78000,-0.290909
51692,2019-03-15,0.70140,-0.100769
51692,2019-03-18,0.64470,-0.080838
51692,2019-03-19,0.75000,0.163332
