Date,Open,High,Low,Close,Adj Close,Volume
2023-01-23,50.849998,52.020000,50.189999,51.959999,51.959999,859500
2023-01-24,51.310001,52.570000,51.230000,51.400002,51.400002,634700
2023-01-25,50.299999,50.970001,49.720001,50.580002,50.580002,1006000
2023-01-26,51.169998,51.709999,48.860001,50.119999,50.119999,1277500
2023-01-27,49.919998,51.570000,49.770000,51.000000,51.000000,777500
2023-01-30,50.070000,50.869999,49.770000,49.770000,49.770000,751000
2023-01-31,50.040001,52.820000,50.040001,52.720001,52.720001,824200
2023-02-01,52.610001,56.130001,52.500000,55.270000,55.270000,1363500
2023-02-02,56.619999,59.090000,56.160000,57.560001,57.560001,1846700
2023-02-03,55.939999,57.320000,55.200001,56.259998,56.259998,1199200
2023-02-06,55.310001,55.770000,54.310001,55.290001,55.290001,861900
2023-02-07,54.840000,55.799999,54.189999,55.639999,55.639999,639700
2023-02-08,55.169998,55.650002,54.400002,55.119999,55.119999,717500
2023-02-09,57.029999,59.840000,56.790001,57.230000,57.230000,2737800
2023-02-10,55.919998,56.669998,55.230000,55.849998,55.849998,1241100
2023-02-13,55.790001,56.810001,55.080002,56.790001,56.790001,874500
2023-02-14,56.270000,56.950001,55.380001,56.799999,56.799999,816300
2023-02-15,56.330002,57.200001,55.660000,56.660000,56.660000,631300
2023-02-16,55.400002,56.150002,55.000000,55.660000,55.660000,1131000
2023-02-17,55.259998,55.439999,53.480000,53.790001,53.790001,809300
2023-02-21,52.320000,52.950001,50.380001,50.430000,50.430000,1463100
2023-02-22,50.500000,51.470001,50.500000,51.080002,51.080002,916500
2023-02-23,51.520000,51.950001,50.910000,51.509998,51.509998,940400
2023-02-24,50.340000,50.799999,49.720001,50.150002,50.150002,1267400
2023-02-27,50.470001,51.950001,50.410000,51.400002,51.400002,1710500
2023-02-28,53.000000,54.630001,50.060001,51.130001,51.130001,2803400
2023-03-01,50.759998,52.200001,50.209999,50.400002,50.400002,1804600
2023-03-02,49.709999,51.040001,49.099998,50.900002,50.900002,1053200
2023-03-03,51.540001,53.139999,50.990002,52.860001,52.860001,901000
2023-03-06,53.009998,53.230000,50.720001,50.889999,50.889999,1009900
2023-03-07,50.889999,51.380001,50.310001,51.029999,51.029999,889900
2023-03-08,51.349998,52.480000,50.860001,52.160000,52.160000,878600
2023-03-09,51.970001,53.060001,50.610001,50.700001,50.700001,1067900
2023-03-10,50.810001,50.810001,48.130001,48.820000,48.820000,1205200
2023-03-13,47.830002,49.340000,47.310001,48.660000,48.660000,845200
2023-03-14,49.759998,50.439999,48.349998,49.080002,49.080002,1062500
2023-03-15,48.090000,49.150002,47.500000,48.349998,48.349998,1013000
2023-03-16,47.880001,48.840000,47.340000,47.900002,47.900002,1599400
2023-03-17,47.610001,47.860001,46.230000,46.669998,46.669998,1463900
2023-03-20,46.900002,47.360001,46.180000,46.990002,46.990002,668800
2023-03-21,47.580002,48.910000,47.500000,48.810001,48.810001,981700
2023-03-22,48.630001,48.830002,47.000000,47.020000,47.020000,652500
2023-03-23,47.299999,48.080002,45.669998,46.520000,46.520000,1264100
2023-03-24,45.810001,46.310001,44.900002,46.290001,46.290001,656200
2023-03-27,46.720001,46.720001,45.919998,46.430000,46.430000,731700
2023-03-28,46.419998,47.139999,45.970001,46.349998,46.349998,551700
2023-03-29,47.169998,47.169998,45.860001,46.840000,46.840000,573000
2023-03-30,47.439999,47.680000,46.529999,46.549999,46.549999,529600
2023-03-31,47.130001,49.049999,47.029999,48.669998,48.669998,1709300
2023-04-03,48.520000,49.490002,48.520000,49.369999,49.369999,1217300
2023-04-04,49.360001,49.360001,47.470001,47.759998,47.759998,635000
2023-04-05,47.330002,48.130001,46.840000,47.500000,47.500000,970200
2023-04-06,47.459999,48.099998,46.840000,47.959999,47.959999,884100
2023-04-10,47.700001,49.119999,47.660000,48.900002,48.900002,886500
2023-04-11,49.500000,50.470001,49.490002,50.110001,50.110001,742000
2023-04-12,51.540001,51.740002,50.180000,50.570000,50.570000,830700
2023-04-13,51.130001,51.720001,50.299999,51.509998,51.509998,930100
2023-04-14,51.290001,52.259998,51.200001,51.939999,51.939999,616700
2023-04-17,51.779999,52.299999,51.470001,52.209999,52.209999,548000
2023-04-18,52.520000,53.189999,52.400002,53.180000,53.180000,791600
2023-04-19,53.810001,54.750000,53.279999,54.520000,54.520000,1548600
2023-04-20,54.099998,55.560001,53.709999,53.750000,53.750000,1661600
2023-04-21,53.669998,54.230000,53.150002,53.660000,53.660000,755300
2023-04-24,55.299999,56.000000,54.250000,55.189999,55.189999,902300
2023-04-25,54.930000,55.470001,53.619999,53.680000,53.680000,873300
2023-04-26,53.680000,54.160000,51.980000,52.169998,52.169998,677800
2023-04-27,52.770000,54.590000,52.480000,54.029999,54.029999,876800
2023-04-28,54.380001,55.240002,53.970001,54.660000,54.660000,697500
2023-05-01,54.380001,54.930000,54.259998,54.730000,54.730000,624600
2023-05-02,54.439999,54.779999,53.410000,54.560001,54.560001,803400
2023-05-03,54.939999,56.689999,54.709999,55.240002,55.240002,1303300
2023-05-04,55.130001,55.270000,53.080002,53.230000,53.230000,777900
2023-05-05,53.910000,55.590000,53.369999,55.230000,55.230000,1096800
2023-05-08,55.349998,56.830002,54.919998,56.299999,56.299999,1474200
2023-05-09,61.000000,62.660000,59.790001,60.889999,60.889999,3287400
2023-05-10,61.570000,61.570000,59.389999,59.480000,59.480000,1571500
2023-05-11,59.689999,59.840000,57.480000,58.090000,58.090000,1574400
2023-05-12,58.049999,58.520000,56.119999,56.639999,56.639999,877300
2023-05-15,56.770000,57.540001,56.080002,57.520000,57.520000,796100
2023-05-16,56.650002,56.799999,55.349998,55.959999,55.959999,1006600
2023-05-17,56.000000,57.820000,55.070000,57.110001,57.110001,1585900
2023-05-18,57.400002,57.830002,56.400002,57.689999,57.689999,824600
2023-05-19,57.939999,58.150002,55.500000,56.560001,56.560001,1261800
2023-05-22,56.490002,56.910000,56.209999,56.570000,56.570000,667000
2023-05-23,55.630001,55.970001,53.349998,54.189999,54.189999,1361800
2023-05-24,54.009998,54.400002,53.310001,53.849998,53.849998,963900
2023-05-25,53.509998,53.660000,52.040001,52.639999,52.639999,1330800
2023-05-26,52.299999,53.080002,51.570000,52.930000,52.930000,598800
2023-05-30,53.470001,53.730000,52.110001,52.919998,52.919998,656200
2023-05-31,52.590000,53.070000,51.080002,51.349998,51.349998,1048700
2023-06-01,51.279999,53.490002,51.029999,53.340000,53.340000,1026800
2023-06-02,54.400002,56.320000,53.939999,55.889999,55.889999,986400
2023-06-05,55.279999,56.189999,54.009998,55.650002,55.650002,816900
2023-06-06,55.549999,58.130001,55.419998,57.480000,57.480000,825600
2023-06-07,57.950001,59.340000,57.810001,58.209999,58.209999,857100
