gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,at,ebit,gp,ni,revt,teq,costat
003144,2019-12-31,2019,INDL,C,D,STD,KO,USD,86381.0000,10541.0000,23993.0000,8920.0000,37266.0000,21098.0000,A
003144,2020-12-31,2020,INDL,C,D,STD,KO,USD,87296.0000,9837.0000,21103.0000,7747.0000,33014.0000,21284.0000,A
003144,2021-12-31,2021,INDL,C,D,STD,KO,USD,94354.0000,11334.0000,24740.0000,9771.0000,38655.0000,24860.0000,A
003144,2022-12-31,2022,INDL,C,D,STD,KO,USD,92763.0000,12124.0000,26262.0000,9542.0000,43004.0000,25826.0000,A
003144,2023-12-31,2023,INDL,C,D,STD,KO,USD,97703.0000,13289.0000,28360.0000,10714.0000,45754.0000,27480.0000,A
008479,2019-12-31,2019,INDL,C,D,STD,PEP,USD,78547.0000,10714.0000,39610.0000,7314.0000,67161.0000,14868.0000,A
008479,2020-12-31,2020,INDL,C,D,STD,PEP,USD,92918.0000,10660.0000,41062.0000,7120.0000,70372.0000,13552.0000,A
008479,2021-12-31,2021,INDL,C,D,STD,PEP,USD,92377.0000,11363.0000,45004.0000,7618.0000,79474.0000,16151.0000,A
008479,2022-12-31,2022,INDL,C,D,STD,PEP,USD,92187.0000,12263.0000,48651.0000,8910.0000,86392.0000,17273.0000,A
008479,2023-12-31,2023,INDL,C,D,STD,PEP,USD,100495.0000,13839.0000,52523.0000,9074.0000,91471.0000,18637.0000,A
016603,2019-12-31,2019,INDL,C,D,STD,NSRGY,USD,132099.2720,16131.9290,50686.9260,13018.9130,95883.9990,54580.5200,A
016603,2020-12-31,2020,INDL,C,D,STD,NSRGY,USD,137651.7060,15627.7090,49392.4870,13575.6090,93982.6820,51623.2740,A
016603,2021-12-31,2021,INDL,C,D,STD,NSRGY,USD,152634.6260,15316.9950,49122.3260,18544.2810,95951.9830,58936.9170,A
016603,2022-12-31,2022,INDL,C,D,STD,NSRGY,USD,146199.4360,16902.7760,49672.2480,10025.5120,102504.6420,46279.5810,A
016603,2023-12-31,2023,INDL,C,D,STD,NSRGY,USD,150288.4490,18487.0810,54437.5500,13311.6020,110861.9280,43212.5310,A
028877,2019-12-31,2019,INDL,C,D,STD,KDP,USD,49518.0000,2665.0000,6547.0000,1254.0000,11120.0000,23257.0000,A
028877,2020-12-31,2020,INDL,C,D,STD,KDP,USD,49779.0000,2914.0000,6753.0000,1325.0000,11618.0000,23830.0000,A
028877,2021-12-31,2021,INDL,C,D,STD,KDP,USD,50598.0000,3093.0000,7236.0000,2146.0000,12683.0000,24972.0000,A
028877,2022-12-31,2022,INDL,C,D,STD,KDP,USD,51837.0000,2880.0000,7561.0000,1436.0000,14057.0000,25125.0000,A
028877,2023-12-31,2023,INDL,C,D,STD,KDP,USD,52130.0000,3210.0000,8311.0000,2181.0000,14814.0000,25676.0000,A
