DATE,VALEIH
1990-01-01,231.8
1990-02-01,233.3
1990-03-01,232.8
1990-04-01,232.1
1990-05-01,231.5
1990-06-01,232.1
1990-07-01,233.9
1990-08-01,234.3
1990-09-01,236.8
1990-10-01,235.2
1990-11-01,236.2
1990-12-01,236.3
1991-01-01,230.4
1991-02-01,229.3
1991-03-01,230.2
1991-04-01,229.7
1991-05-01,230.0
1991-06-01,231.0
1991-07-01,228.8
1991-08-01,229.7
1991-09-01,230.1
1991-10-01,230.7
1991-11-01,230.3
1991-12-01,230.8
1992-01-01,230.5
1992-02-01,231.3
1992-03-01,231.3
1992-04-01,232.5
1992-05-01,234.9
1992-06-01,234.1
1992-07-01,235.1
1992-08-01,236.8
1992-09-01,236.9
1992-10-01,238.6
1992-11-01,240.7
1992-12-01,238.5
1993-01-01,241.3
1993-02-01,243.2
1993-03-01,238.9
1993-04-01,240.7
1993-05-01,243.2
1993-06-01,244.0
1993-07-01,244.0
1993-08-01,244.9
1993-09-01,246.6
1993-10-01,246.4
1993-11-01,245.5
1993-12-01,247.1
1994-01-01,248.0
1994-02-01,247.5
1994-03-01,248.7
1994-04-01,251.7
1994-05-01,252.4
1994-06-01,253.4
1994-07-01,255.6
1994-08-01,258.3
1994-09-01,257.1
1994-10-01,257.6
1994-11-01,259.4
1994-12-01,260.1
1995-01-01,263.4
1995-02-01,263.7
1995-03-01,264.6
1995-04-01,265.1
1995-05-01,264.3
1995-06-01,265.7
1995-07-01,266.9
1995-08-01,267.0
1995-09-01,266.9
1995-10-01,267.8
1995-11-01,268.3
1995-12-01,268.6
1996-01-01,265.2
1996-02-01,267.5
1996-03-01,270.1
1996-04-01,268.1
1996-05-01,268.7
1996-06-01,270.1
1996-07-01,272.2
1996-08-01,272.2
1996-09-01,272.5
1996-10-01,272.6
1996-11-01,272.8
1996-12-01,273.4
1997-01-01,277.1
1997-02-01,278.5
1997-03-01,279.0
1997-04-01,278.2
1997-05-01,278.9
1997-06-01,278.2
1997-07-01,277.4
1997-08-01,277.5
1997-09-01,278.3
1997-10-01,279.3
1997-11-01,280.0
1997-12-01,280.1
1998-01-01,277.9
1998-02-01,280.7
1998-03-01,278.0
1998-04-01,280.1
1998-05-01,281.5
1998-06-01,281.7
1998-07-01,281.7
1998-08-01,282.0
1998-09-01,283.1
1998-10-01,282.3
1998-11-01,285.2
1998-12-01,287.1
1999-01-01,286.4
1999-02-01,289.6
1999-03-01,286.1
1999-04-01,285.3
1999-05-01,284.6
1999-06-01,283.9
1999-07-01,284.4
1999-08-01,286.4
1999-09-01,287.6
1999-10-01,288.8
1999-11-01,290.6
1999-12-01,292.0
2000-01-01,295.6
2000-02-01,294.3
2000-03-01,295.4
2000-04-01,296.0
2000-05-01,295.4
2000-06-01,296.5
2000-07-01,294.5
2000-08-01,296.4
2000-09-01,299.2
2000-10-01,300.3
2000-11-01,302.3
2000-12-01,300.2
2001-01-01,298.5
2001-02-01,300.6
2001-03-01,301.6
2001-04-01,301.7
2001-05-01,302.6
2001-06-01,303.0
2001-07-01,303.3
2001-08-01,303.0
2001-09-01,301.5
2001-10-01,299.9
2001-11-01,299.0
2001-12-01,299.1
2002-01-01,299.2
2002-02-01,300.4
2002-03-01,301.0
2002-04-01,303.5
2002-05-01,303.4
2002-06-01,304.4
2002-07-01,305.3
2002-08-01,305.8
2002-09-01,306.3
2002-10-01,305.8
2002-11-01,306.5
2002-12-01,306.5
2003-01-01,307.5
2003-02-01,305.6
2003-03-01,305.4
2003-04-01,306.9
2003-05-01,309.0
2003-06-01,309.5
2003-07-01,310.5
2003-08-01,310.4
2003-09-01,310.8
2003-10-01,313.9
2003-11-01,314.7
2003-12-01,315.3
2004-01-01,316.1
2004-02-01,317.1
2004-03-01,318.0
2004-04-01,319.3
2004-05-01,320.3
2004-06-01,321.4
2004-07-01,321.4
2004-08-01,322.3
2004-09-01,324.0
2004-10-01,325.7
2004-11-01,326.4
2004-12-01,327.9
2005-01-01,327.4
2005-02-01,328.4
2005-03-01,328.9
2005-04-01,329.4
2005-05-01,330.0
2005-06-01,329.9
2005-07-01,330.9
2005-08-01,332.9
2005-09-01,333.2
2005-10-01,332.9
2005-11-01,335.3
2005-12-01,335.4
2006-01-01,338.4
2006-02-01,339.1
2006-03-01,340.0
2006-04-01,339.6
2006-05-01,337.7
2006-06-01,340.0
2006-07-01,340.5
2006-08-01,341.5
2006-09-01,340.6
2006-10-01,341.5
2006-11-01,343.1
2006-12-01,345.3
2007-01-01,347.9
2007-02-01,346.4
2007-03-01,347.4
2007-04-01,345.2
2007-05-01,345.5
2007-06-01,346.4
2007-07-01,347.1
2007-08-01,347.3
2007-09-01,348.0
2007-10-01,347.9
2007-11-01,347.7
2007-12-01,348.7
2008-01-01,353.3
2008-02-01,352.6
2008-03-01,353.4
2008-04-01,353.9
2008-05-01,353.7
2008-06-01,352.8
2008-07-01,352.6
2008-08-01,350.6
2008-09-01,349.3
2008-10-01,348.3
2008-11-01,347.2
2008-12-01,346.8
