PERMNO,date,TICKER,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,NUMTRD,sprtrn
93436,2019-01-02,TSLA,298.79999,315.13000,310.12000,11658648,-0.068149,310.07999,310.09000,306.10001,145507,0.001269
93436,2019-01-03,TSLA,297.38000,309.39999,300.35999,6964484,-0.031472,300.35001,300.35999,307.00000,82112,-0.024757
93436,2019-01-04,TSLA,302.73001,318.00000,317.69000,7390907,0.057697,317.56000,317.69000,306.00000,85110,0.034336
93436,2019-01-07,TSLA,317.75079,336.73999,334.95999,7551325,0.054361,334.81000,334.97000,321.72000,88354,0.007010
93436,2019-01-08,TSLA,327.01999,344.01001,335.35001,7008220,0.001164,335.29001,335.32001,341.95999,76752,0.009695
93436,2019-01-09,TSLA,331.47000,343.50250,338.53000,5432945,0.009483,338.42001,338.48999,335.50000,60498,0.004098
93436,2019-01-10,TSLA,331.79001,345.39001,344.97000,6056354,0.019023,344.89999,344.98001,334.39999,68474,0.004518
93436,2019-01-11,TSLA,338.76999,348.41000,347.26001,5039052,0.006638,347.22000,347.23001,342.09000,57160,-0.000146
93436,2019-01-14,TSLA,334.00000,342.50000,334.39999,5247384,-0.037033,334.39999,334.48999,342.38000,58966,-0.005258
93436,2019-01-15,TSLA,334.50000,348.79999,344.42999,6056590,0.029994,344.20999,344.35999,335.00000,71443,0.010722
93436,2019-01-16,TSLA,343.50000,352.00000,346.04999,4731739,0.004703,345.91000,346.03000,344.78000,53350,0.002222
93436,2019-01-17,TSLA,344.14999,351.50000,347.31000,3676733,0.003641,347.31000,347.48999,346.20999,41722,0.007591
93436,2019-01-18,TSLA,299.73010,327.12970,302.26001,24148863,-0.129711,302.25000,302.26001,323.00000,286102,0.013183
93436,2019-01-22,TSLA,295.50000,308.00000,298.92001,12066599,-0.011050,298.91000,298.92001,304.82001,135852,-0.014157
93436,2019-01-23,TSLA,281.69000,294.50000,287.59000,12529593,-0.037903,287.47000,287.60001,292.50000,154096,0.002203
93436,2019-01-24,TSLA,279.28311,293.67999,291.51001,8026155,0.013631,291.60001,291.70001,283.03000,92659,0.001376
93436,2019-01-25,TSLA,289.54999,298.51950,297.04001,7257978,0.018970,296.91000,297.04999,294.39001,83799,0.008489
93436,2019-01-28,TSLA,287.75000,297.45999,296.38000,6423079,-0.002222,296.38000,296.39001,292.91000,74962,-0.007847
93436,2019-01-29,TSLA,291.79999,298.55661,297.45999,4621692,0.003644,297.45999,297.59000,295.26999,54390,-0.001456
93436,2019-01-30,TSLA,298.48999,309.00000,308.76999,11250218,0.038022,308.76001,308.76999,300.45001,140737,0.015549
93436,2019-01-31,TSLA,294.00000,311.56360,307.01999,12568995,-0.005668,306.75000,306.98999,301.00000,142407,0.008597
93436,2019-02-01,TSLA,303.50000,316.10001,312.20999,7283141,0.016904,312.19000,312.38000,305.42001,84131,0.000899
