PERMNO,date,TICKER,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,NUMTRD
10107,2019-01-02,MSFT,98.94000,101.75000,101.12000,35347045,-0.004430,101.12000,101.13000,99.55000,239618
10107,2019-01-03,MSFT,97.20000,100.18500,97.40000,42570779,-0.036788,97.35000,97.38000,100.10000,302446
10107,2019-01-04,MSFT,98.93000,102.51000,101.93000,44032862,0.046509,101.93000,101.94000,99.72000,301838
10107,2019-01-07,MSFT,100.98000,103.26810,102.06000,35650303,0.001275,102.04000,102.06000,101.64000,240581
10107,2019-01-08,MSFT,101.71340,103.97000,102.80000,31531077,0.007251,102.81000,102.82000,103.04000,224953
10107,2019-01-09,MSFT,103.24450,104.88000,104.27000,32279340,0.014300,104.29000,104.31000,103.86000,233483
10107,2019-01-10,MSFT,102.38000,103.75000,103.60000,30055256,-0.006426,103.56000,103.60000,103.22000,177689
10107,2019-01-11,MSFT,101.64000,103.44000,102.80000,28277502,-0.007722,102.76000,102.78000,103.19000,187594
10107,2019-01-14,MSFT,101.26000,102.87160,102.05000,28416379,-0.007296,102.04000,102.06000,101.90000,149619
10107,2019-01-15,MSFT,101.88000,105.05000,105.01000,31572516,0.029005,105.00000,105.02000,102.51000,208420
10107,2019-01-16,MSFT,104.96000,106.25500,105.38000,29843819,0.003523,105.37000,105.38000,105.26000,197491
10107,2019-01-17,MSFT,104.76000,106.62500,106.12000,28385667,0.007022,106.14000,106.16000,105.00000,184249
10107,2019-01-18,MSFT,105.91000,107.90000,107.71000,37412087,0.014983,107.70000,107.72000,107.46000,217682
10107,2019-01-22,MSFT,104.86000,107.10000,105.68000,32363345,-0.018847,105.82000,105.83000,106.75000,200438
10107,2019-01-23,MSFT,105.34000,107.04000,106.71000,25902190,0.009746,106.78000,106.79000,106.12000,180088
10107,2019-01-24,MSFT,105.34000,107.00000,106.20000,23161238,-0.004779,106.18000,106.19000,106.86000,166438
10107,2019-01-25,MSFT,106.59000,107.88000,107.17000,31212898,0.009134,107.16000,107.17000,107.24000,191812
10107,2019-01-28,MSFT,104.66000,106.48000,105.08000,29462419,-0.019502,105.08000,105.09000,106.26000,214258
10107,2019-01-29,MSFT,102.17000,104.97000,102.94000,31450347,-0.020365,102.93000,102.95000,104.88000,212464
10107,2019-01-30,MSFT,104.33000,106.38000,106.38000,49469836,0.033417,106.32000,106.38000,104.62000,321209
10107,2019-01-31,MSFT,103.18000,105.22000,104.43000,55638678,-0.018330,104.41000,104.48000,103.80000,327995
10107,2019-02-01,MSFT,102.35000,104.09990,102.78000,35525014,-0.015800,102.77000,102.82000,103.77500,215467
10107,2019-02-04,MSFT,102.77000,105.80000,105.74000,31306982,0.028799,105.78000,105.79000,102.87000,195420
10107,2019-02-05,MSFT,105.96000,107.27000,107.22000,27311165,0.013997,107.22000,107.23000,106.06000,169540
10107,2019-02-06,MSFT,105.53000,107.00000,106.03000,20583459,-0.011099,106.11000,106.12000,107.00000,146613
10107,2019-02-07,MSFT,104.29000,105.59000,105.27000,29734656,-0.007168,105.31000,105.32000,105.18500,196921
10107,2019-02-08,MSFT,104.26030,105.78000,105.67000,21450093,0.003800,105.75000,105.76000,104.39000,136995
10107,2019-02-11,MSFT,104.96500,106.58000,105.25000,18909663,-0.003975,105.27000,105.28000,106.20000,133995
10107,2019-02-12,MSFT,105.48000,107.14000,106.89000,25033340,0.015582,106.88000,106.88000,106.14000,160306
10107,2019-02-13,MSFT,106.71000,107.78000,106.81000,18392169,-0.000748,106.78000,106.79000,107.50000,126253
10107,2019-02-14,MSFT,105.66000,107.29000,106.90000,21786673,0.000843,106.87000,106.88000,106.31000,143100
10107,2019-02-15,MSFT,107.36240,108.30000,108.22000,26597090,0.012348,108.20000,108.21000,107.91000,157497
10107,2019-02-19,MSFT,107.78000,108.66000,108.17000,18019764,-0.000462,108.23000,108.24000,107.79000,122457
10107,2019-02-20,MSFT,106.29000,107.94000,107.15000,21600619,-0.005177,107.19000,107.20000,107.86000,144251
10107,2019-02-21,MSFT,106.87000,109.48000,109.41000,29051931,0.021092,109.43000,109.45000,106.90000,200098
10107,2019-02-22,MSFT,109.82000,111.20000,110.97000,27755128,0.014258,110.96000,110.97000,110.05000,184492
10107,2019-02-25,MSFT,111.26000,112.18000,111.59000,23747399,0.005587,111.59000,111.60000,111.76000,156824
10107,2019-02-26,MSFT,111.17000,113.24000,112.36000,21530217,0.006900,112.36000,112.37000,111.26000,149082
10107,2019-02-27,MSFT,110.88000,112.36000,112.17000,21469722,-0.001691,112.18000,112.19000,111.69000,128118
10107,2019-02-28,MSFT,111.73000,112.88000,112.03000,29070634,-0.001248,112.05000,112.06000,112.04000,138071
10107,2019-03-01,MSFT,111.66500,113.02000,112.53000,23494469,0.004463,112.51000,112.52000,112.89000,134754
10107,2019-03-04,MSFT,110.80000,113.25000,112.26000,26602759,-0.002399,112.28000,112.29000,113.02000,173601
