PERMNO,date,PRC,VOL,vwretd
90248,2017-01-03,158.36000,797593,0.008205
90248,2017-01-04,162.99001,679367,0.008618
90248,2017-01-05,162.77000,482054,-0.000945
90248,2017-01-06,163.49001,548495,0.002310
90248,2017-01-09,164.50999,478624,-0.003925
90248,2017-01-10,166.36000,834299,0.001311
90248,2017-01-11,168.96001,705212,0.003227
90248,2017-01-12,168.36000,601076,-0.002536
90248,2017-01-13,167.16000,475747,0.002819
90248,2017-01-17,164.92999,483870,-0.003693
90248,2017-01-18,165.57001,527763,0.001415
90248,2017-01-19,166.03999,340848,-0.003889
90248,2017-01-20,167.87000,436873,0.003625
90248,2017-01-23,167.03999,584030,-0.001921
90248,2017-01-24,169.50999,601603,0.008375
90248,2017-01-25,170.57001,296036,0.008078
90248,2017-01-26,170.94000,322058,-0.001150
90248,2017-01-27,172.02000,462266,-0.001599
90248,2017-01-30,173.92999,655437,-0.007057
90248,2017-01-31,174.53999,822034,0.000839
90248,2017-02-01,170.89000,662223,0.000282
90248,2017-02-02,174.91000,1155312,0.000599
90248,2017-02-03,175.89000,750089,0.007801
90248,2017-02-06,177.94000,844506,-0.002713
90248,2017-02-07,182.96001,1561739,-0.000541
90248,2017-02-08,185.17999,837934,0.001224
90248,2017-02-09,185.89999,704453,0.006490
90248,2017-02-10,186.37000,647252,0.004103
90248,2017-02-13,183.80000,781175,0.004652
90248,2017-02-14,184.91000,526174,0.003882
90248,2017-02-15,185.94000,618160,0.004785
90248,2017-02-16,186.10001,313629,-0.001251
90248,2017-02-17,187.92999,458793,0.001900
90248,2017-02-21,188.92000,450374,0.005811
90248,2017-02-22,183.00000,1357022,-0.001741
90248,2017-02-23,186.30000,1029108,-0.000909
90248,2017-02-24,186.28000,859090,0.000450
90248,2017-02-27,185.42000,1228896,0.001995
90248,2017-02-28,189.81000,2158198,-0.004647
90248,2017-03-01,187.45000,1154935,0.013366
90248,2017-03-02,189.37000,802534,-0.006862
90248,2017-03-03,189.03999,566789,0.000944
90248,2017-03-06,188.89000,430355,-0.003808
90248,2017-03-07,189.30000,442435,-0.003455
90248,2017-03-08,188.36000,398755,-0.003233
90248,2017-03-09,184.69000,1050039,-0.000246
90248,2017-03-10,186.73000,687365,0.003446
90248,2017-03-13,186.78999,616694,0.001665
90248,2017-03-14,183.67000,693924,-0.004180
90248,2017-03-15,186.27000,917431,0.010125
90248,2017-03-16,185.62000,759376,-0.000614
90248,2017-03-17,184.83000,869780,-0.000812
90248,2017-03-20,183.69000,929815,-0.002332
90248,2017-03-21,184.02000,1115263,-0.013602
90248,2017-03-22,184.13000,691193,0.001795
90248,2017-03-23,184.35001,481253,0.000156
90248,2017-03-24,182.95000,907287,-0.000317
90248,2017-03-27,183.95000,523494,-0.000361
90248,2017-03-28,184.94000,438858,0.006893
90248,2017-03-29,182.77000,560548,0.002268
90248,2017-03-30,184.11000,614153,0.002599
90248,2017-03-31,184.30000,479884,-0.001095
90248,2017-04-03,186.23000,751133,-0.002624
90248,2017-04-04,186.36000,555012,0.000621
90248,2017-04-05,185.14000,538995,-0.004134
90248,2017-04-06,186.00000,401850,0.003506
90248,2017-04-07,175.16000,2876994,-0.000717
90248,2017-04-10,173.75000,1143255,0.001468
90248,2017-04-11,175.50999,781392,-0.000127
90248,2017-04-12,175.13000,691794,-0.004575
90248,2017-04-13,174.03999,690782,-0.007191
90248,2017-04-17,175.03999,676439,0.008654
90248,2017-04-18,176.63000,1208762,-0.002508
90248,2017-04-19,175.71001,971667,-0.001333
90248,2017-04-20,176.91000,459924,0.007669
90248,2017-04-21,179.30000,918114,-0.002842
90248,2017-04-24,180.59000,915542,0.010754
90248,2017-04-25,180.59000,670350,0.005960
90248,2017-04-26,180.96001,1279470,-0.000105
90248,2017-04-27,185.55000,2422201,-0.000040
90248,2017-04-28,181.39000,1068379,-0.002611
90248,2017-05-01,182.16000,621486,0.002001
90248,2017-05-02,184.41000,916686,0.000255
90248,2017-05-03,187.07001,913895,-0.002573
90248,2017-05-04,190.39000,1022371,-0.000777
90248,2017-05-05,193.12000,779355,0.005792
90248,2017-05-08,192.28999,701723,-0.000820
90248,2017-05-09,195.36000,689882,-0.000984
90248,2017-05-10,195.67000,649990,0.002600
90248,2017-05-11,195.38000,419787,-0.002715
90248,2017-05-12,195.28000,398616,-0.001539
90248,2017-05-15,196.52000,828306,0.005603
90248,2017-05-16,196.23000,430058,-0.000384
90248,2017-05-17,191.46001,595359,-0.018102
90248,2017-05-18,194.71001,1097768,0.003369
90248,2017-05-19,195.80000,645354,0.007577
90248,2017-05-22,198.82001,603690,0.005394
90248,2017-05-23,199.25000,488886,0.001526
90248,2017-05-24,205.97000,1083004,0.002402
90248,2017-05-25,208.03999,878783,0.003248
90248,2017-05-26,207.05000,635960,0.000310
90248,2017-05-30,208.49001,467399,-0.002267
90248,2017-05-31,211.72000,739070,-0.000326
90248,2017-06-01,215.34000,899504,0.009052
90248,2017-06-02,218.05000,728973,0.003486
90248,2017-06-05,217.10001,449471,-0.001819
90248,2017-06-06,217.85001,912277,-0.002150
90248,2017-06-07,218.14999,514063,0.000725
90248,2017-06-08,217.88000,410194,0.001597
90248,2017-06-09,206.19000,1366105,-0.000547
90248,2017-06-12,204.07001,905890,-0.000866
90248,2017-06-13,208.39999,712403,0.005328
90248,2017-06-14,210.56000,709661,-0.002289
90248,2017-06-15,209.56000,437996,-0.002973
90248,2017-06-16,210.84000,1406718,0.000543
