PERMNO,date,RET,vwretd,ewretd,sprtrn
93436,2019-01-02,-0.068149,0.001796,0.017126,0.001269
93436,2019-01-03,-0.031472,-0.021043,-0.009454,-0.024757
93436,2019-01-04,0.057697,0.033410,0.030804,0.034336
93436,2019-01-07,0.054361,0.009202,0.016144,0.007010
93436,2019-01-08,0.001164,0.010269,0.010358,0.009695
93436,2019-01-09,0.009483,0.006199,0.010306,0.004098
93436,2019-01-10,0.019023,0.004474,0.002611,0.004518
93436,2019-01-11,0.006638,-0.000152,0.001293,-0.000146
93436,2019-01-14,-0.037033,-0.005465,-0.005852,-0.005258
93436,2019-01-15,0.029994,0.009839,0.006546,0.010722
93436,2019-01-16,0.004703,0.003177,0.004831,0.002222
93436,2019-01-17,0.003641,0.007082,0.005101,0.007591
93436,2019-01-18,-0.129711,0.012032,0.008534,0.013183
93436,2019-01-22,-0.011050,-0.014150,-0.013514,-0.014157
93436,2019-01-23,-0.037903,0.001313,-0.000571,0.002203
93436,2019-01-24,0.013631,0.002789,0.005460,0.001376
93436,2019-01-25,0.018970,0.009553,0.010818,0.008489
93436,2019-01-28,-0.002222,-0.006493,-0.003899,-0.007847
93436,2019-01-29,0.003644,-0.000918,0.000164,-0.001456
93436,2019-01-30,0.038022,0.014357,0.009789,0.015549
93436,2019-01-31,-0.005668,0.008467,0.007008,0.008597
93436,2019-02-01,0.016904,0.001418,0.002960,0.000899
93436,2019-02-04,0.002178,0.006692,0.007317,0.006776
93436,2019-02-05,0.027038,0.004392,0.002633,0.004708
93436,2019-02-06,-0.012852,-0.002529,-0.001374,-0.002224
93436,2019-02-07,-0.030610,-0.008815,-0.009004,-0.009357
93436,2019-02-08,-0.005561,0.000651,-0.001107,0.000676
93436,2019-02-11,0.023022,0.001262,0.003731,0.000709
93436,2019-02-12,-0.003292,0.012367,0.010086,0.012890
93436,2019-02-13,-0.011674,0.002782,0.003827,0.003024
93436,2019-02-14,-0.014278,-0.001423,0.000674,-0.002652
93436,2019-02-15,0.013530,0.010835,0.009520,0.010879
93436,2019-02-19,-0.007276,0.002351,0.005022,0.001499
93436,2019-02-20,-0.010077,0.002105,0.001534,0.001777
93436,2019-02-21,-0.037447,-0.003534,-0.001722,-0.003526
93436,2019-02-22,0.011949,0.006367,0.007815,0.006411
93436,2019-02-25,0.013776,0.001355,0.002548,0.001232
93436,2019-02-26,-0.003046,-0.001496,-0.002209,-0.000790
93436,2019-02-27,0.056671,0.000503,0.000165,-0.000544
93436,2019-02-28,0.016331,-0.002832,-0.003329,-0.002826
93436,2019-03-01,-0.078436,0.006074,0.005596,0.006895
93436,2019-03-04,-0.031989,-0.004235,-0.002059,-0.003881
93436,2019-03-05,-0.030908,-0.001320,-0.001251,-0.001131
93436,2019-03-06,-0.001085,-0.007768,-0.012423,-0.006524
93436,2019-03-07,0.001267,-0.007494,-0.005773,-0.008126
93436,2019-03-08,0.027297,-0.001900,-0.002342,-0.002132
93436,2019-03-11,0.023861,0.014348,0.013281,0.014666
