Category: All categories

Week,NASDAQ:TSLA: (United States)
2019-01-27,15
2019-02-03,9
2019-02-10,9
2019-02-17,10
2019-02-24,21
2019-03-03,18
2019-03-10,16
2019-03-17,15
2019-03-24,13
2019-03-31,19
2019-04-07,14
2019-04-14,12
2019-04-21,30
2019-04-28,20
2019-05-05,14
2019-05-12,17
2019-05-19,32
2019-05-26,19
2019-06-02,21
2019-06-09,19
2019-06-16,15
2019-06-23,12
2019-06-30,15
2019-07-07,10
2019-07-14,11
2019-07-21,20
2019-07-28,12
2019-08-04,9
2019-08-11,9
2019-08-18,10
2019-08-25,8
2019-09-01,7
2019-09-08,8
2019-09-15,7
2019-09-22,8
2019-09-29,11
2019-10-06,7
2019-10-13,8
2019-10-20,23
2019-10-27,12
2019-11-03,10
2019-11-10,11
2019-11-17,16
2019-11-24,10
2019-12-01,8
2019-12-08,9
2019-12-15,16
2019-12-22,16
2019-12-29,14
2020-01-05,23
2020-01-12,31
2020-01-19,27
2020-01-26,41
2020-02-02,97
2020-02-09,40
2020-02-16,37
2020-02-23,42
2020-03-01,32
2020-03-08,37
2020-03-15,39
2020-03-22,27
2020-03-29,24
2020-04-05,18
2020-04-12,29
2020-04-19,21
2020-04-26,38
2020-05-03,17
2020-05-10,15
2020-05-17,14
2020-05-24,14
2020-05-31,19
2020-06-07,30
2020-06-14,12
2020-06-21,8
2020-06-28,24
2020-07-05,44
2020-07-12,56
2020-07-19,62
2020-07-26,33
2020-08-02,22
2020-08-09,38
2020-08-16,57
2020-08-23,51
2020-08-30,100
2020-09-06,67
2020-09-13,54
2020-09-20,68
2020-09-27,40
2020-10-04,33
2020-10-11,31
2020-10-18,39
2020-10-25,26
2020-11-01,22
2020-11-08,23
2020-11-15,52
2020-11-22,40
2020-11-29,44
2020-12-06,51
2020-12-13,28
2020-12-20,23
2020-12-27,32
2021-01-03,58
2021-01-10,52
2021-01-17,30
2021-01-24,51
2021-01-31,37
2021-02-07,33
2021-02-14,29
2021-02-21,57
2021-02-28,49
2021-03-07,55
2021-03-14,36
2021-03-21,36
2021-03-28,32
2021-04-04,33
2021-04-11,34
2021-04-18,31
2021-04-25,39
2021-05-02,26
2021-05-09,36
2021-05-16,34
2021-05-23,26
2021-05-30,23
2021-06-06,22
2021-06-13,19
2021-06-20,24
2021-06-27,21
2021-07-04,16
2021-07-11,18
2021-07-18,17
2021-07-25,30
2021-08-01,20
2021-08-08,17
2021-08-15,21
2021-08-22,16
2021-08-29,15
2021-09-05,14
2021-09-12,14
2021-09-19,14
2021-09-26,18
2021-10-03,18
2021-10-10,18
2021-10-17,32
2021-10-24,53
2021-10-31,45
2021-11-07,47
2021-11-14,36
2021-11-21,24
2021-11-28,27
2021-12-05,28
2021-12-12,29
2021-12-19,22
2021-12-26,23
2022-01-02,35
2022-01-09,23
2022-01-16,20
2022-01-23,42
2022-01-30,27
2022-02-06,21
2022-02-13,24
2022-02-20,27
2022-02-27,24
2022-03-06,23
2022-03-13,23
2022-03-20,26
2022-03-27,32
2022-04-03,26
2022-04-10,18
2022-04-17,34
2022-04-24,38
2022-05-01,26
2022-05-08,25
2022-05-15,33
2022-05-22,29
2022-05-29,23
2022-06-05,26
2022-06-12,29
2022-06-19,21
2022-06-26,22
2022-07-03,17
2022-07-10,17
2022-07-17,32
2022-07-24,18
2022-07-31,16
2022-08-07,17
2022-08-14,22
2022-08-21,27
2022-08-28,20
2022-09-04,16
2022-09-11,20
2022-09-18,20
2022-09-25,19
2022-10-02,28
2022-10-09,22
2022-10-16,32
2022-10-23,24
2022-10-30,16
2022-11-06,28
2022-11-13,20
2022-11-20,20
2022-11-27,19
2022-12-04,19
2022-12-11,33
2022-12-18,45
2022-12-25,50
2023-01-01,42
2023-01-08,33
2023-01-15,26
2023-01-22,47
2023-01-29,38
2023-02-05,33
2023-02-12,35
2023-02-19,24
2023-02-26,33
2023-03-05,27
2023-03-12,21
2023-03-19,23
2023-03-26,19
2023-04-02,22
2023-04-09,21
2023-04-16,35
2023-04-23,24
2023-04-30,19
2023-05-07,21
2023-05-14,21
2023-05-21,23
2023-05-28,24
2023-06-04,36
2023-06-11,37
2023-06-18,32
2023-06-25,29
2023-07-02,30
2023-07-09,25
2023-07-16,46
2023-07-23,29
2023-07-30,22
2023-08-06,21
2023-08-13,22
2023-08-20,21
2023-08-27,23
2023-09-03,16
2023-09-10,29
2023-09-17,20
2023-09-24,19
2023-10-01,20
2023-10-08,17
2023-10-15,30
2023-10-22,23
2023-10-29,25
2023-11-05,13
2023-11-12,25
2023-11-19,16
2023-11-26,17
2023-12-03,14
2023-12-10,20
2023-12-17,19
2023-12-24,16
2023-12-31,15
2024-01-07,18
2024-01-14,18
2024-01-21,5
